"year","experiment","genotype","treatment","subplot_id","trait","data"
2013,"density","RIL_095","thick",31001,"panicle_emergence_DAS",40
2013,"density","RIL_076","thick",31002,"panicle_emergence_DAS",36
2013,"density","RIL_212","thick",31003,"panicle_emergence_DAS",49
2013,"density","RIL_074","thick",31004,"panicle_emergence_DAS",42
2013,"density","RIL_126","thick",31005,"panicle_emergence_DAS",27
2013,"density","A10","thick",31006,"panicle_emergence_DAS",30
2013,"density","RIL_090","thick",31007,"panicle_emergence_DAS",41
2013,"density","A10","thick",31008,"panicle_emergence_DAS",30
2013,"density","RIL_196","thick",31009,"panicle_emergence_DAS",37
2013,"density","RIL_146","thick",31010,"panicle_emergence_DAS",52
2013,"density","RIL_094","thick",31011,"panicle_emergence_DAS",50
2013,"density","RIL_216","thick",31012,"panicle_emergence_DAS",39
2013,"density","RIL_010","thick",31013,"panicle_emergence_DAS",38
2013,"density","RIL_063","thick",31014,"panicle_emergence_DAS",59
2013,"density","A10","thick",31015,"panicle_emergence_DAS",33
2013,"density","RIL_078","thick",31016,"panicle_emergence_DAS",38
2013,"density","RIL_200","thick",31017,"panicle_emergence_DAS",49
2013,"density","RIL_036","thick",31018,"panicle_emergence_DAS",39
2013,"density","RIL_070","thick",31019,"panicle_emergence_DAS",42
2013,"density","A10","thick",31020,"panicle_emergence_DAS",31
2013,"density","RIL_062","thick",31021,"panicle_emergence_DAS",45
2013,"density","RIL_015","thick",31022,"panicle_emergence_DAS",27
2013,"density","RIL_054","thick",31023,"panicle_emergence_DAS",38
2013,"density","B100","thick",31024,"panicle_emergence_DAS",49
2013,"density","RIL_047","thick",31025,"panicle_emergence_DAS",34
2013,"density","B100","thick",31026,"panicle_emergence_DAS",49
2013,"density","B100","thick",31027,"panicle_emergence_DAS",50
2013,"density","A10","thick",31028,"panicle_emergence_DAS",30
2013,"density","RIL_164","thick",31029,"panicle_emergence_DAS",35
2013,"density","RIL_038","thick",31030,"panicle_emergence_DAS",36
2013,"density","RIL_018","thick",31031,"panicle_emergence_DAS",38
2013,"density","RIL_209","thick",31032,"panicle_emergence_DAS",39
2013,"density","RIL_157","thick",31033,"panicle_emergence_DAS",37
2013,"density","A10","thick",31034,"panicle_emergence_DAS",30
2013,"density","RIL_136","thick",31035,"panicle_emergence_DAS",38
2013,"density","RIL_093","thick",31036,"panicle_emergence_DAS",38
2013,"density","RIL_153","thick",31037,"panicle_emergence_DAS",41
2013,"density","RIL_201","thick",31038,"panicle_emergence_DAS",51
2013,"density","RIL_115","thick",31039,"panicle_emergence_DAS",34
2013,"density","RIL_033","thick",31040,"panicle_emergence_DAS",41
2013,"density","RIL_206","thick",31041,"panicle_emergence_DAS",38
2013,"density","RIL_029","thick",31042,"panicle_emergence_DAS",41
2013,"density","RIL_134","thick",31043,"panicle_emergence_DAS",41
2013,"density","RIL_060","thick",31044,"panicle_emergence_DAS",49
2013,"density","RIL_016","thick",31045,"panicle_emergence_DAS",37
2013,"density","RIL_170","thick",31046,"panicle_emergence_DAS",66
2013,"density","RIL_031","thick",31047,"panicle_emergence_DAS",35
2013,"density","RIL_105","thick",31048,"panicle_emergence_DAS",36
2013,"density","RIL_163","thick",31049,"panicle_emergence_DAS",38
2013,"density","RIL_127","thick",31050,"panicle_emergence_DAS",41
2013,"density","RIL_159","thick",31051,"panicle_emergence_DAS",48
2013,"density","RIL_100","thick",31052,"panicle_emergence_DAS",50
2013,"density","RIL_109","thick",31053,"panicle_emergence_DAS",41
2013,"density","RIL_082","thick",31054,"panicle_emergence_DAS",38
2013,"density","RIL_179","thick",31055,"panicle_emergence_DAS",38
2013,"density","RIL_116","thick",31056,"panicle_emergence_DAS",40
2013,"density","RIL_125","thick",31057,"panicle_emergence_DAS",42
2013,"density","RIL_203","thick",31058,"panicle_emergence_DAS",41
2013,"density","RIL_175","thick",31059,"panicle_emergence_DAS",38
2013,"density","RIL_156","thick",31060,"panicle_emergence_DAS",41
2013,"density","RIL_142","thick",31061,"panicle_emergence_DAS",35
2013,"density","RIL_087","thick",31062,"panicle_emergence_DAS",27
2013,"density","RIL_128","thick",31063,"panicle_emergence_DAS",44
2013,"density","RIL_208","thick",31064,"panicle_emergence_DAS",38
2013,"density","RIL_185","thick",31065,"panicle_emergence_DAS",38
2013,"density","RIL_067","thick",31066,"panicle_emergence_DAS",36
2013,"density","RIL_150","thick",31067,"panicle_emergence_DAS",38
2013,"density","B100","thick",31068,"panicle_emergence_DAS",50
2013,"density","RIL_058","thick",31069,"panicle_emergence_DAS",45
2013,"density","RIL_171","thick",31070,"panicle_emergence_DAS",41
2013,"density","RIL_190","thick",31071,"panicle_emergence_DAS",38
2013,"density","RIL_135","thick",31072,"panicle_emergence_DAS",38
2013,"density","RIL_137","thick",31073,"panicle_emergence_DAS",45
2013,"density","RIL_183","thick",31074,"panicle_emergence_DAS",48
2013,"density","RIL_117","thick",31075,"panicle_emergence_DAS",40
2013,"density","RIL_149","thick",31076,"panicle_emergence_DAS",36
2013,"density","RIL_019","thick",31077,"panicle_emergence_DAS",34
2013,"density","RIL_084","thick",31078,"panicle_emergence_DAS",39
2013,"density","RIL_218","thick",31079,"panicle_emergence_DAS",45
